사용일자,호선명,역명,승차승객수,하차승객수
2022-01-14,1호선,서울역,44956,43212
2022-01-14,1호선,동묘앞,6843,7135
2022-01-14,1호선,시청,21008,21187
2022-01-14,1호선,종각,34432,32858
2022-01-14,1호선,종로3가,24875,23082
2022-01-14,1호선,종로5가,21969,21703
2022-01-14,1호선,동대문,10215,9507
2022-01-14,1호선,신설동,13837,13340
2022-01-14,1호선,제기동,17368,17602
2022-01-14,1호선,청량리,19577,19999
2022-01-15,1호선,청량리,17466,18079
2022-01-15,1호선,제기동,16526,17161
2022-01-15,1호선,신설동,9213,8614
2022-01-15,1호선,동대문,9692,8809
2022-01-15,1호선,종로5가,17701,17956
2022-01-15,1호선,종로3가,20637,19468
2022-01-15,1호선,종각,17538,16043
2022-01-15,1호선,시청,9427,9666
2022-01-15,1호선,동묘앞,9825,10159
2022-01-15,1호선,서울역,28600,28201
2022-01-16,1호선,서울역,24951,22877
2022-01-16,1호선,동묘앞,10914,10771
2022-01-16,1호선,시청,6628,6196
2022-01-16,1호선,종각,11669,10275
2022-01-16,1호선,종로3가,12333,11091
2022-01-16,1호선,종로5가,8641,8473
2022-01-16,1호선,동대문,8233,8481
2022-01-16,1호선,신설동,7130,7110
2022-01-16,1호선,제기동,10108,10671
2022-01-16,1호선,청량리,12379,12255
2022-01-17,1호선,서울역,41857,39516
2022-01-17,1호선,동묘앞,6486,6641
2022-01-17,1호선,시청,21072,21112
2022-01-17,1호선,종각,35176,33692
2022-01-17,1호선,종로3가,23959,22259
2022-01-17,1호선,종로5가,21497,20975
2022-01-17,1호선,동대문,10235,9573
2022-01-17,1호선,신설동,13535,13129
2022-01-17,1호선,제기동,16940,17430
2022-01-17,1호선,청량리,18860,18814
2022-01-18,1호선,청량리,19069,19169
2022-01-18,1호선,제기동,17059,17386
2022-01-18,1호선,신설동,13254,12908
2022-01-18,1호선,동대문,10026,9379
2022-01-18,1호선,종로5가,21331,21065
2022-01-18,1호선,종로3가,23936,21806
2022-01-18,1호선,종각,34898,33710
2022-01-18,1호선,시청,22017,22175
2022-01-18,1호선,동묘앞,6886,7125
2022-01-18,1호선,서울역,41563,39218
2022-01-19,1호선,청량리,17724,18086
2022-01-19,1호선,제기동,15643,15705
2022-01-19,1호선,신설동,13758,13386
2022-01-19,1호선,동대문,10185,9373
2022-01-19,1호선,종로5가,21523,20787
2022-01-19,1호선,종로3가,23900,21803
2022-01-19,1호선,종각,36458,34681
2022-01-19,1호선,시청,22757,22640
2022-01-19,1호선,동묘앞,5813,6394
2022-01-19,1호선,서울역,43713,40739
2022-01-20,1호선,서울역,43402,41037
2022-01-20,1호선,청량리,20370,20097
2022-01-20,1호선,제기동,17689,18394
2022-01-20,1호선,신설동,13742,13361
2022-01-20,1호선,동대문,10441,9353
2022-01-20,1호선,종로5가,22152,22033
2022-01-20,1호선,종로3가,25062,22768
2022-01-20,1호선,종각,35826,34909
2022-01-20,1호선,시청,22125,22266
2022-01-20,1호선,동묘앞,7247,7631
2022-01-21,1호선,청량리,21669,21812
2022-01-21,1호선,제기동,19997,20638
2022-01-21,1호선,신설동,14300,13665
2022-01-21,1호선,동대문,11068,10066
2022-01-21,1호선,종로5가,23292,22980
2022-01-21,1호선,종로3가,26719,24562
2022-01-21,1호선,종각,36003,34974
2022-01-21,1호선,시청,22081,22228
2022-01-21,1호선,동묘앞,7810,8186
2022-01-21,1호선,서울역,46637,44427
2022-01-22,1호선,서울역,28977,28803
2022-01-22,1호선,동묘앞,10581,11012
2022-01-22,1호선,시청,10106,10589
2022-01-22,1호선,종각,18119,16687
2022-01-22,1호선,종로3가,21796,20115
2022-01-22,1호선,종로5가,17821,18012
2022-01-22,1호선,동대문,9942,9099
2022-01-22,1호선,신설동,9669,9176
2022-01-22,1호선,제기동,17662,18300
2022-01-22,1호선,청량리,18658,19140
2022-01-23,1호선,서울역,23835,21440
2022-01-23,1호선,동묘앞,11459,11555
2022-01-23,1호선,시청,6993,6565
2022-01-23,1호선,종각,12042,10621
2022-01-23,1호선,종로3가,13245,11686
2022-01-23,1호선,종로5가,8719,8553
2022-01-23,1호선,동대문,8408,8749
2022-01-23,1호선,신설동,7372,7275
2022-01-23,1호선,제기동,11302,11957
2022-01-23,1호선,청량리,12993,13008
2022-01-24,1호선,청량리,20846,21012
2022-01-24,1호선,제기동,19915,20683
2022-01-24,1호선,신설동,13549,13040
2022-01-24,1호선,동대문,10477,9794
2022-01-24,1호선,종로5가,21737,21575
2022-01-24,1호선,종로3가,24867,22725
2022-01-24,1호선,종각,34229,33503
2022-01-24,1호선,시청,21013,21267
2022-01-24,1호선,동묘앞,7115,7417
2022-01-24,1호선,서울역,41306,39822
2022-01-25,1호선,청량리,20098,20142
2022-01-25,1호선,제기동,18781,19241
2022-01-25,1호선,신설동,13446,13092
2022-01-25,1호선,동대문,10203,9494
2022-01-25,1호선,종로5가,22005,21675
2022-01-25,1호선,종로3가,24710,22412
2022-01-25,1호선,종각,34558,33662
2022-01-25,1호선,시청,22124,22099
2022-01-25,1호선,동묘앞,6342,6640
2022-01-25,1호선,서울역,41537,39739
2022-01-26,1호선,서울역,42167,41207
2022-01-26,1호선,동묘앞,7813,8166
2022-01-26,1호선,시청,22733,22803
2022-01-26,1호선,종각,35346,34368
2022-01-26,1호선,종로3가,25502,23461
2022-01-26,1호선,종로5가,22828,22386
2022-01-26,1호선,동대문,10782,9880
2022-01-26,1호선,신설동,14042,13539
2022-01-26,1호선,제기동,20506,21250
2022-01-26,1호선,청량리,21722,22121
2022-01-27,1호선,청량리,20872,21268
2022-01-27,1호선,제기동,19563,20404
2022-01-27,1호선,신설동,13602,13058
2022-01-27,1호선,동대문,10541,9703
2022-01-27,1호선,종로5가,22600,21405
2022-01-27,1호선,종로3가,24453,22290
2022-01-27,1호선,종각,34149,33315
2022-01-27,1호선,시청,21888,21799
2022-01-27,1호선,동묘앞,7534,7763
2022-01-27,1호선,서울역,40907,44780
2022-01-28,1호선,동묘앞,7723,7949
2022-01-28,1호선,서울역,38242,39895
2022-01-28,1호선,시청,19955,20181
2022-01-28,1호선,종각,31832,30911
2022-01-28,1호선,종로3가,24404,22454
2022-01-28,1호선,종로5가,23053,21716
2022-01-28,1호선,동대문,10582,9624
2022-01-28,1호선,신설동,13659,12886
2022-01-28,1호선,제기동,19090,19678
2022-01-28,1호선,청량리,21027,21465
2022-01-29,1호선,청량리,16977,17105
2022-01-29,1호선,제기동,15376,16120
2022-01-29,1호선,신설동,8060,7327
2022-01-29,1호선,동대문,8649,8281
2022-01-29,1호선,종로5가,14878,14124
2022-01-29,1호선,종로3가,17062,15986
2022-01-29,1호선,종각,13440,12581
2022-01-29,1호선,시청,7205,7244
2022-01-29,1호선,동묘앞,9309,9512
2022-01-29,1호선,서울역,19588,24323
2022-01-30,1호선,청량리,12675,12947
2022-01-30,1호선,제기동,10067,10483
2022-01-30,1호선,신설동,6398,5607
2022-01-30,1호선,동대문,8095,8313
2022-01-30,1호선,종로5가,8322,7719
2022-01-30,1호선,종로3가,10842,9841
2022-01-30,1호선,종각,9133,8329
2022-01-30,1호선,시청,5500,5305
2022-01-30,1호선,동묘앞,9488,9649
2022-01-30,1호선,서울역,15691,19367
2022-01-31,1호선,청량리,9670,10051
2022-01-31,1호선,제기동,7217,7169
2022-01-31,1호선,동대문,6744,6720
2022-01-31,1호선,종로5가,6658,6303
2022-01-31,1호선,종로3가,8629,7556
2022-01-31,1호선,종각,7447,6393
2022-01-31,1호선,동묘앞,6014,6136
2022-01-31,1호선,서울역,15649,16857
2022-01-31,1호선,신설동,4267,3770
2022-01-31,1호선,시청,4315,4155
2022-02-01,1호선,청량리,6194,6306
2022-02-01,1호선,제기동,3458,3693
2022-02-01,1호선,신설동,3126,3237
2022-02-01,1호선,동대문,5813,5304
2022-02-01,1호선,종로5가,3389,3142
2022-02-01,1호선,종로3가,6012,5363
2022-02-01,1호선,종각,7295,6513
2022-02-01,1호선,시청,3743,3740
2022-02-01,1호선,동묘앞,3082,3500
2022-02-01,1호선,서울역,16407,14010
2022-02-02,1호선,서울역,19614,15617
2022-02-02,1호선,동묘앞,5716,6138
2022-02-02,1호선,종각,9460,8673
2022-02-02,1호선,종로3가,10190,9097
2022-02-02,1호선,종로5가,6412,6474
2022-02-02,1호선,동대문,5875,5428
2022-02-02,1호선,신설동,4381,4819
2022-02-02,1호선,제기동,5266,5764
2022-02-02,1호선,청량리,8259,8385
2022-02-02,1호선,시청,5463,5437
2022-02-03,1호선,청량리,15691,15706
2022-02-03,1호선,제기동,13138,13361
2022-02-03,1호선,신설동,11718,11721
2022-02-03,1호선,종로5가,19561,19651
2022-02-03,1호선,종로3가,21582,20138
2022-02-03,1호선,종각,28418,27821
2022-02-03,1호선,시청,18621,18945
2022-02-03,1호선,동묘앞,6253,6630
2022-02-03,1호선,서울역,40979,32120
2022-02-03,1호선,동대문,8433,8191
2022-02-04,1호선,청량리,16692,16750
2022-02-04,1호선,제기동,14132,14326
2022-02-04,1호선,신설동,12654,12366
2022-02-04,1호선,동대문,9723,8884
2022-02-04,1호선,종로5가,21502,21115
2022-02-04,1호선,종로3가,23615,22179
2022-02-04,1호선,종각,30369,29494
2022-02-04,1호선,시청,19724,19912
2022-02-04,1호선,동묘앞,6658,7054
2022-02-04,1호선,서울역,39412,35770
2022-02-05,1호선,서울역,22832,21468
2022-02-05,1호선,동묘앞,8397,8494
2022-02-05,1호선,시청,8421,8634
2022-02-05,1호선,종각,14426,13701
2022-02-05,1호선,종로3가,16936,16424
2022-02-05,1호선,종로5가,15064,15010
2022-02-05,1호선,동대문,8335,7490
2022-02-05,1호선,신설동,7452,7166
2022-02-05,1호선,제기동,11245,11376
2022-02-05,1호선,청량리,13325,13555
2022-02-06,1호선,청량리,10091,10101
2022-02-06,1호선,제기동,7427,7757
2022-02-06,1호선,동묘앞,9142,9174
2022-02-06,1호선,신설동,5887,5919
2022-02-06,1호선,동대문,6638,6980
2022-02-06,1호선,시청,5692,5454
2022-02-06,1호선,종각,9467,8512
2022-02-06,1호선,종로3가,10752,9499
2022-02-06,1호선,종로5가,6825,6650
2022-02-06,1호선,서울역,19362,16886
2022-02-07,1호선,서울역,37914,36091
2022-02-07,1호선,동묘앞,6524,6950
2022-02-07,1호선,시청,20241,20422
2022-02-07,1호선,종각,32283,31701
2022-02-07,1호선,종로3가,22857,21276
2022-02-07,1호선,종로5가,20565,20554
2022-02-07,1호선,동대문,9510,8983
2022-02-07,1호선,신설동,13051,12717
2022-02-07,1호선,제기동,15013,15221
2022-02-07,1호선,청량리,17660,17491
2022-02-08,1호선,청량리,18061,18076
2022-02-08,1호선,제기동,15944,16194
2022-02-08,1호선,신설동,12760,12527
2022-02-08,1호선,동대문,9815,8977
2022-02-08,1호선,종로5가,21626,21278
2022-02-08,1호선,종로3가,23444,21501
2022-02-08,1호선,종각,32313,31758
2022-02-08,1호선,시청,20754,20986
2022-02-08,1호선,동묘앞,7185,7389
2022-02-08,1호선,서울역,38004,35865
2022-02-09,1호선,서울역,38756,36031
2022-02-09,1호선,동묘앞,7348,7491
2022-02-09,1호선,시청,21132,21446
2022-02-09,1호선,종각,32742,32205
2022-02-09,1호선,종로3가,24002,21924
2022-02-09,1호선,종로5가,20849,20647
2022-02-09,1호선,동대문,9908,9132
2022-02-09,1호선,신설동,13339,13000
2022-02-09,1호선,제기동,15979,16256
2022-02-09,1호선,청량리,18412,18307
2022-02-10,1호선,서울역,38849,36875
2022-02-10,1호선,동묘앞,6957,7271
2022-02-10,1호선,시청,20919,21339
2022-02-10,1호선,종각,31926,31261
2022-02-10,1호선,종로3가,23631,21759
2022-02-10,1호선,종로5가,21142,20939
2022-02-10,1호선,동대문,9818,9130
2022-02-10,1호선,신설동,13261,12981
2022-02-10,1호선,제기동,16315,16369
2022-02-10,1호선,청량리,18451,18420
2022-02-11,1호선,서울역,42390,40709
2022-02-11,1호선,동묘앞,7135,7397
2022-02-11,1호선,시청,20307,20842
2022-02-11,1호선,종각,31765,30900
2022-02-11,1호선,종로3가,24998,23043
2022-02-11,1호선,종로5가,21710,21776
2022-02-11,1호선,동대문,10400,9513
2022-02-11,1호선,신설동,13936,13376
2022-02-11,1호선,제기동,16387,16673
2022-02-11,1호선,청량리,19246,19344
2022-02-12,1호선,서울역,25027,25115
2022-02-12,1호선,동묘앞,10166,10566
2022-02-12,1호선,시청,9220,9699
2022-02-12,1호선,종각,15857,14805
2022-02-12,1호선,종로3가,20757,18690
2022-02-12,1호선,종로5가,16296,16389
2022-02-12,1호선,동대문,9279,8508
2022-02-12,1호선,신설동,9288,8709
2022-02-12,1호선,제기동,14298,14846
2022-02-12,1호선,청량리,16459,16798
2022-02-13,1호선,동대문,7631,8088
2022-02-13,1호선,종로5가,7823,7753
2022-02-13,1호선,종각,10444,9568
2022-02-13,1호선,종로3가,12510,11007
2022-02-13,1호선,서울역,21053,19161
2022-02-13,1호선,동묘앞,10570,10640
2022-02-13,1호선,시청,6328,6058
2022-02-13,1호선,청량리,11528,11689
2022-02-13,1호선,제기동,9132,9569
2022-02-13,1호선,신설동,7061,6936
2022-02-14,1호선,동대문,9746,9166
2022-02-14,1호선,서울역,38551,37346
2022-02-14,1호선,동묘앞,6217,6505
2022-02-14,1호선,시청,19787,20335
2022-02-14,1호선,종각,31755,30760
2022-02-14,1호선,종로3가,22677,21188
2022-02-14,1호선,종로5가,20692,20170
2022-02-14,1호선,신설동,13023,12930
2022-02-14,1호선,제기동,15516,15567
2022-02-14,1호선,청량리,18270,18221
2022-02-15,1호선,서울역,37878,35755
2022-02-15,1호선,동묘앞,6006,6331
2022-02-15,1호선,시청,21803,21945
2022-02-15,1호선,종각,32639,31849
2022-02-15,1호선,종로3가,22148,20516
2022-02-15,1호선,종로5가,20638,20219
2022-02-15,1호선,동대문,9724,8933
2022-02-15,1호선,신설동,12655,12434
2022-02-15,1호선,제기동,14133,14482
2022-02-15,1호선,청량리,17467,17104
2022-02-16,1호선,서울역,37631,35674
2022-02-16,1호선,동묘앞,5702,6011
2022-02-16,1호선,시청,20616,20948
2022-02-16,1호선,종각,31581,30571
2022-02-16,1호선,종로3가,21177,19675
2022-02-16,1호선,종로5가,19702,19361
2022-02-16,1호선,동대문,9149,8620
2022-02-16,1호선,신설동,12633,12379
2022-02-16,1호선,제기동,13505,13392
2022-02-16,1호선,청량리,16253,16283
2022-02-17,1호선,청량리,16772,16543
2022-02-17,1호선,제기동,13645,13676
2022-02-17,1호선,신설동,12559,12316
2022-02-17,1호선,동대문,9389,8704
2022-02-17,1호선,종로5가,19833,19655
2022-02-17,1호선,종로3가,21485,19944
2022-02-17,1호선,종각,30827,30022
2022-02-17,1호선,시청,20034,20242
2022-02-17,1호선,동묘앞,5995,6220
2022-02-17,1호선,서울역,37548,35823
2022-02-18,1호선,청량리,18698,18761
2022-02-18,1호선,제기동,15603,15727
2022-02-18,1호선,신설동,13219,12864
2022-02-18,1호선,동대문,9967,9127
2022-02-18,1호선,종로5가,20951,20774
2022-02-18,1호선,종로3가,24092,22175
2022-02-18,1호선,종각,30834,29832
2022-02-18,1호선,시청,19717,20247
2022-02-18,1호선,동묘앞,7033,7310
2022-02-18,1호선,서울역,41323,39749
2022-02-19,1호선,서울역,24632,25055
2022-02-19,1호선,동묘앞,9499,9760
2022-02-19,1호선,시청,9810,10057
2022-02-19,1호선,종각,16290,15067
2022-02-19,1호선,청량리,15733,15769
2022-02-19,1호선,제기동,13304,13292
2022-02-19,1호선,신설동,8822,8308
2022-02-19,1호선,동대문,9200,8716
2022-02-19,1호선,종로5가,16085,16086
2022-02-19,1호선,종로3가,18911,18508
2022-02-20,1호선,청량리,10520,10541
2022-02-20,1호선,제기동,7896,8148
2022-02-20,1호선,신설동,6237,6321
2022-02-20,1호선,동대문,6916,7067
2022-02-20,1호선,종로5가,7622,7108
2022-02-20,1호선,종로3가,10628,9589
2022-02-20,1호선,종각,10292,9143
2022-02-20,1호선,시청,6085,5978
2022-02-20,1호선,동묘앞,8966,9306
2022-02-20,1호선,서울역,21179,19303
2022-02-21,1호선,청량리,17422,17620
2022-02-21,1호선,제기동,14798,15091
2022-02-21,1호선,신설동,12592,12360
2022-02-21,1호선,동대문,9408,9006
2022-02-21,1호선,종로5가,20321,19222
2022-02-21,1호선,종로3가,22017,20250
2022-02-21,1호선,종각,30447,29514
2022-02-21,1호선,시청,19281,19453
2022-02-21,1호선,동묘앞,5979,6286
2022-02-21,1호선,서울역,37553,36039
2022-02-22,1호선,동대문,9552,8926
2022-02-22,1호선,신설동,12214,11992
2022-02-22,1호선,제기동,14557,14695
2022-02-22,1호선,청량리,17344,17412
2022-02-22,1호선,종로5가,20274,20064
2022-02-22,1호선,종로3가,21815,20056
2022-02-22,1호선,종각,30255,29544
2022-02-22,1호선,시청,20259,20377
2022-02-22,1호선,동묘앞,6033,6571
2022-02-22,1호선,서울역,37054,35325
2022-02-23,1호선,청량리,16795,16840
2022-02-23,1호선,제기동,14352,14292
2022-02-23,1호선,신설동,12480,12257
2022-02-23,1호선,동대문,9497,8868
2022-02-23,1호선,종로5가,19701,19394
2022-02-23,1호선,종로3가,21239,19509
2022-02-23,1호선,종각,30684,29634
2022-02-23,1호선,시청,20290,20409
2022-02-23,1호선,동묘앞,5953,6296
2022-02-23,1호선,서울역,37127,35236
2022-02-24,1호선,서울역,37837,35692
2022-02-24,1호선,동묘앞,6531,6841
2022-02-24,1호선,시청,20005,20204
2022-02-24,1호선,종각,30155,29396
2022-02-24,1호선,종로3가,22333,20489
2022-02-24,1호선,종로5가,20479,19916
2022-02-24,1호선,동대문,9556,8859
2022-02-24,1호선,신설동,12651,12414
2022-02-24,1호선,제기동,15014,15319
2022-02-24,1호선,청량리,17450,17775
2022-02-25,1호선,서울역,41491,40496
2022-02-25,1호선,동묘앞,7198,7720
2022-02-25,1호선,시청,19899,20338
2022-02-25,1호선,종각,30665,29559
2022-02-25,1호선,종로3가,23849,21836
2022-02-25,1호선,종로5가,21823,21594
2022-02-25,1호선,동대문,10233,9572
2022-02-25,1호선,신설동,13337,12932
2022-02-25,1호선,제기동,16181,16616
2022-02-25,1호선,청량리,19380,19483
2022-02-26,1호선,서울역,24750,25357
2022-02-26,1호선,동묘앞,9163,9418
2022-02-26,1호선,시청,8584,9078
2022-02-26,1호선,종각,14692,14633
2022-02-26,1호선,종로3가,17885,17194
2022-02-26,1호선,종로5가,15956,15656
2022-02-26,1호선,동대문,8843,7977
2022-02-26,1호선,신설동,8483,8161
2022-02-26,1호선,제기동,12927,13309
2022-02-26,1호선,청량리,15439,15507
2022-02-27,1호선,서울역,21220,19479
2022-02-27,1호선,동묘앞,11213,11392
2022-02-27,1호선,시청,6975,6898
2022-02-27,1호선,종각,11166,9716
2022-02-27,1호선,종로3가,12266,10969
2022-02-27,1호선,종로5가,8070,7938
2022-02-27,1호선,동대문,7794,8256
2022-02-27,1호선,신설동,7069,6949
2022-02-27,1호선,제기동,8911,9282
2022-02-27,1호선,청량리,11597,11864
2022-02-28,1호선,동묘앞,7188,7339
2022-02-28,1호선,청량리,18473,18410
2022-02-28,1호선,제기동,15913,16250
2022-02-28,1호선,신설동,12533,12300
2022-02-28,1호선,동대문,10159,9709
2022-02-28,1호선,종로5가,20531,20461
2022-02-28,1호선,종로3가,23565,21630
2022-02-28,1호선,종각,27981,27637
2022-02-28,1호선,시청,17878,18388
2022-02-28,1호선,서울역,37038,34360
2022-03-01,1호선,동묘앞,7106,7394
2022-03-01,1호선,청량리,13021,12958
2022-03-01,1호선,제기동,10733,11414
2022-03-01,1호선,신설동,6374,6211
2022-03-01,1호선,동대문,8153,7978
2022-03-01,1호선,종로5가,14036,13472
2022-03-01,1호선,종로3가,16349,14533
2022-03-01,1호선,종각,15750,13544
2022-03-01,1호선,시청,12439,12379
2022-03-01,1호선,서울역,20994,19468
2022-03-02,1호선,서울역,35974,34212
2022-03-02,1호선,시청,20111,20187
2022-03-02,1호선,종각,30162,29499
2022-03-02,1호선,종로3가,21817,19803
2022-03-02,1호선,종로5가,20566,20001
2022-03-02,1호선,동대문,10037,9347
2022-03-02,1호선,신설동,13284,13035
2022-03-02,1호선,제기동,15660,15915
2022-03-02,1호선,청량리,18246,18182
2022-03-02,1호선,동묘앞,7000,7349
2022-03-03,1호선,시청,19914,19971
2022-03-03,1호선,종각,31468,30836
2022-03-03,1호선,종로3가,22398,20259
2022-03-03,1호선,종로5가,20530,20199
2022-03-03,1호선,동대문,9897,9400
2022-03-03,1호선,신설동,13047,12795
2022-03-03,1호선,제기동,16041,16009
2022-03-03,1호선,청량리,18350,18397
2022-03-03,1호선,동묘앞,7314,7692
2022-03-03,1호선,서울역,35847,34633
2022-03-04,1호선,동묘앞,6935,7403
2022-03-04,1호선,청량리,18005,18165
2022-03-04,1호선,제기동,14998,15113
2022-03-04,1호선,신설동,13281,12971
2022-03-04,1호선,동대문,9761,8911
2022-03-04,1호선,종로5가,20378,20033
2022-03-04,1호선,종로3가,22378,20647
2022-03-04,1호선,종각,30186,29482
2022-03-04,1호선,시청,19824,19714
2022-03-04,1호선,서울역,40023,38144
2022-03-05,1호선,서울역,23365,23142
2022-03-05,1호선,시청,10598,10808
2022-03-05,1호선,종각,17526,16107
2022-03-05,1호선,종로3가,18166,17189
2022-03-05,1호선,종로5가,15453,15249
2022-03-05,1호선,동대문,8748,8162
2022-03-05,1호선,신설동,8434,8023
2022-03-05,1호선,제기동,12681,12896
2022-03-05,1호선,청량리,15308,15693
2022-03-05,1호선,동묘앞,9433,9989
2022-03-06,1호선,동묘앞,10674,10866
2022-03-06,1호선,청량리,11153,11284
2022-03-06,1호선,제기동,8347,8720
2022-03-06,1호선,신설동,6733,6599
2022-03-06,1호선,동대문,7649,8148
2022-03-06,1호선,종로5가,7275,7266
2022-03-06,1호선,종로3가,11387,10292
2022-03-06,1호선,종각,10309,9069
2022-03-06,1호선,시청,6006,5685
2022-03-06,1호선,서울역,19236,18236
2022-03-07,1호선,동묘앞,6492,6887
2022-03-07,1호선,청량리,17979,18021
2022-03-07,1호선,제기동,15194,15482
2022-03-07,1호선,신설동,12760,12504
2022-03-07,1호선,동대문,9882,9146
2022-03-07,1호선,종로5가,19945,19901
2022-03-07,1호선,종로3가,21986,20146
2022-03-07,1호선,종각,29721,29183
